gameRT,PNash0,PNash1,PNashn,WPNash,effNashF,effNashO,wwGame,effGameF,effGameO,prefFGameF,prefOGameF,predGameF,prefOutcomeO,predGameO,cnssPrefOut,cnssPredOut,prefIneqGame,domGameF,domGameO,indiffF,indiffO,cmndGameF,cmndGameO,nonGameF,nonGameO,prefOutcomeF,prefOutcomeFSpoilt,prefOutcomeOSpoilt,block,expdGameF,expdGameO,outRT,wwChoice
6.3873999999999995,0,0,0,0,-0.5,0.5,1,-1,1,-1,0,-1,0,-1,1,-1,-2,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,0.7164,1
2.6776,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1.4866,0
0.6731,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.5116,1
3.5684999999999993,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0.7983,1
-0.5061,0,0,0,0,0.5,-0.5,1,1,-1,1,0,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0.7201,1
3.8610999999999995,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0.354,0
-9.686699999999998,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0.287,1
0.0474,0,0,0,0,0.0,0.0,0,-1,1,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0.6863,1
-0.22250000000000003,0,0,0,0,nan,nan,0,-1,1,-1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,0.6057,0
0.3531,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1341,1
-0.059900000000000064,0,0,0,0,nan,nan,0,1,-1,0,-1,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,1.8308,0
15.5681,0,0,0,0,1.0,0.0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.763,0
-4.3457,1,0,-1,1,nan,nan,-1,1,-1,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,1.2364,1
7.713299999999999,0,0,0,0,nan,nan,0,1,-1,-1,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.1672,0
0.4317000000000002,0,0,0,0,0.0,-1.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.5142,0
-2.8008,0,0,0,0,0.0,0.5,1,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4248,1
0.23440000000000003,-1,0,1,-1,nan,nan,1,1,-1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0,0.1293,1
0.5347,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,1.4528,0
-0.30180000000000007,0,0,0,0,nan,nan,0,1,-1,1,1,1,0,0,-1,1,5,0,0,0,0,0,0,0,0,1,-1,-1,1,1,0,1.5939,0
-6.301300000000001,-1,1,0,0,nan,nan,0,1,-1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,3.5239,0
-1.6392,0,0,0,0,0.5,0.0,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.3189,1
-0.08760000000000012,0,0,0,0,0.0,1.0,1,0,0,0,0,0,1,1,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,2.914,1
1.9194,0,0,0,0,0.0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,1,0,0.6496,0
0.6552,0,0,0,0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1.2501,1
0.14250000000000007,-1,1,0,0,nan,nan,0,-1,1,0,1,1,0,0,0,1,-1,0,1,0,0,0,0,0,0,1,0,-1,1,1,0,2.2188,0
-0.28929999999999995,0,-1,1,0,1.0,-0.5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2132,0
0.1314,0,0,0,0,1.0,0.0,1,0,0,0,1,1,0,0,1,1,-1,0,0,0,0,0,-1,0,0,1,0,-1,1,1,0,0.1061,1
0.7688,0,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0.1602,1
0.012899999999999995,0,0,0,0,0.0,0.0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,0.1575,1
0.06559999999999999,0,-1,1,0,-0.5,1.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9069,0
0.8701,0,0,0,0,0.0,0.0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7341,0
0.4326,0,1,-1,0,1.0,-0.5,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0448,0
-0.37,0,0,0,0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,0,1.0909,1
-8.535,1,-1,0,0,nan,nan,0,0,0,0,-1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,8.827,0
-0.35949999999999993,0,0,0,0,nan,nan,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5463,0
-0.16760000000000003,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3603,1
1.2346000000000001,1,-1,0,0,nan,nan,0,0,0,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,1.2541,0
-7.6977,0,0,0,0,1.0,0.0,1,1,-1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4676,1
